1,6,06/16/2016 12:55,"20.52974, -100.80948","14Q, 311336.37, 2271149.11","On Primo de Verdad Street, at the intersection of Jalisco street",Oriente,Image,-,-,-,-,https://drive.google.com/open?id=0B2peLSjj8MvuTkFuUkp2QnBTQTg,https://drive.google.com/open?id=0B2oSxAcRutgXU2k5dnNETHVRVTg,Wall,Thickness 1.5 cm,,Wall,,,Wall,,ImageTrackTeam1.jpg.crdownload,https://drive.google.com/open?id=0B2peLSjj8MvuYi1ncUE5NW1SQTg,,2016-06-21-04-26-12
1,8,06/16/2016 13:11,"20.52971,-100.80935","14Q, 311349.8896, 2271145.635","On Oaxaca street, at the intersection of Primo de Verdad street",Oriente,Structural Measurement,328,22,1.65,29.5,https://drive.google.com/open?id=0B2peLSjj8MvuaG9ZSmx4WDY1TXM,https://drive.google.com/open?id=0B2oSxAcRutgXcHV0azZRMjJfYkU,Road,Image of fault,https://drive.google.com/open?id=0B2oSxAcRutgXNHJPWGFzOFh0Q1k,Wall,,,Door,,ImageTrackTeam1.jpg,https://drive.google.com/open?id=0B2peLSjj8MvuYi1ncUE5NW1SQTg,,2016-06-21-04-30-06
1,7,06/16/2016 13:00,"20.52975,-100.8094","14Q, 311344.7242, 2271150.121","On Jalisco street, at the intersection of Primo de Verdad street",Oriente,Structural Measurement,336,23.1,1.63,30.6,https://drive.google.com/open?id=0B2peLSjj8MvuREh2RjN5My1veXc,https://drive.google.com/open?id=0B2oSxAcRutgXUU9USkVvWWpPQkU,Road,Image of the fault. Thicknes 1.5 cm,https://drive.google.com/open?id=0B2oSxAcRutgXWFFENzJKaTZQWkE,Sidewalk,,,Wall,,ImageTrackTeam1.jpg,https://drive.google.com/open?id=0B2peLSjj8MvuYi1ncUE5NW1SQTg,,2016-06-21-04-33-33
1,10,06/16/2016,"20.52806,-100.80886","311379.705249,2271012.438198","On Guillermo Prieto avenue, near the Santa Clara ice cream",Oriente,Structural Measurement,322,24.4,1.6,34.5,https://drive.google.com/open?id=0B2peLSjj8MvuVjlhbWcwWTFnTTQ,https://drive.google.com/open?id=0B2oSxAcRutgXeFl3UExHaW1YLWM,Road,Wide view of the road like a ramp,https://drive.google.com/open?id=0B2oSxAcRutgXVGx0TG5IeVlEams,Other,Separation of the base of a building,https://drive.google.com/open?id=0B2oSxAcRutgXQl9xNWxqaW96d3M,Sidewalk,A crack of the stairs on the street,ImageTrackTeam1.jpg,https://drive.google.com/open?id=0B2peLSjj8MvuYi1ncUE5NW1SQTg,The fault caused several structure damage on a stairs and biulding,2016-06-21-04-34-42
1,11,06/16/2016,"20.52792,-100.80874","311398.968842,2270962.399889","On Agustín Arroyo Chagoyan, at the intersection of Nuevo Leon",Oriente,Structural Measurement,328,16.6,1.57,17.6,https://drive.google.com/open?id=0B2peLSjj8MvuYXRzanFzX0ZRYVk,https://drive.google.com/open?id=0Bwb5qHvpwY-5NzBseC1YbnlTanc,Sidewalk,Part of the sidewalk cracked,https://drive.google.com/open?id=0Bwb5qHvpwY-5eFdTM0lKU3ZNWUE,Road,A fracture on the rode,https://drive.google.com/open?id=0B2oSxAcRutgXM2NRTEY1dlFBeVk,Sidewalk,A fracture on the base of a building,ImageTrackTeam1.jpg,https://drive.google.com/open?id=0B2peLSjj8MvuYi1ncUE5NW1SQTg,Cracks on a building and sidewalk,2016-06-21-04-38-00
1,12,06/16/2016,"20.52706,-100.80831","311411.312181,2270946.762101","On Nuevo Leon street, at the intersection of Agustin Arroyo street",Oriente,Structural Measurement,312,19,1.62,21.2,https://drive.google.com/open?id=0B2peLSjj8Mvua1RzMmZmLV9ZVjA,https://drive.google.com/open?id=0B2oSxAcRutgXbFlCVElwR3JIUG8,Door,A door leaned,https://drive.google.com/open?id=0Bwb5qHvpwY-5MlFZamM1N1VZY2c,Road,Fractures on the road,,Wall,,ImageTrackTeam1.jpg,https://drive.google.com/open?id=0B2peLSjj8MvuYi1ncUE5NW1SQTg,It was nearby the last one so we can assume the damaged was caused within 3 years too.,2016-06-21-04-41-19
2,7,Thu Jun 16 13:48:58 2016,20.52818961 -100.8121629,"14Q, 311054.6594 2270980.567",Residential Zone,Oriente,Structural Measurement,335,Not visible,-,-,https://lh5.googleusercontent.com/Lm6mTmjIlh-3h7j7Tr192SRsDwnbA1ijKZCm5AIT2txMVw2UNN6WtOomRv8XmfXNB1uq3A=w1229-h569,https://drive.google.com/file/d/0B-xqovB0wtaESWx5cm96REpoZHM/view?usp=sharing,Wall,Tension cracks on asphalt. Displacement on sidewalks and cracking.,,Wall,,,Wall,,,,:),2016-06-21-03-59-43
2,1,06/16/2016 11:35,"20.53019851, -100.8093459","14Q, 311350.91635752, 2271199.71266662",Class example on fault located on intersection of Guanajuato and Primo Verdad Streets,Oriente,Structural Measurement,350-353-354,15,2.1,8.113776941,-,https://drive.google.com/file/d/0B-xqovB0wtaEMGgzMFJGcWRJc00/view?usp=sharing,Road,Fault on the street,https://drive.google.com/file/d/0B_iQ7IZhmO2zaXhjOTQ2N1ZqQlU/view?usp=sharing,Road,Fault on the street,,Wall,,,https://drive.google.com/file/d/0B-xqovB0wtaEd2NPYWp6bjFrMjQ/view?usp=sharing,,2016-06-21-04-01-41
2,13,06/16/2016 14:43,"20.52818961, -100.8121629","14Q, 311054.6594, 2270980.567",La Paz and Guadalupe Street. North sidewalk. Make Up Store.,Poniente,Structural Measurement,346-349,13,1,4.45,https://drive.google.com/folderview?id=0B-xqovB0wtaETVV6cDFWa3RNdm8&usp=sharing,https://drive.google.com/file/d/0B-xqovB0wtaEQldmT3VLcWlDeGs/view?usp=sharing,Road,Asphalt not concrete where the fault,https://drive.google.com/file/d/0B_iQ7IZhmO2zM0p5ekRIekROVEU/view,Sidewalk,,,Wall,,,https://drive.google.com/folderview?id=0B-xqovB0wtaETVJPSWFjcmJtdHc&usp=sharing,,2016-06-21-04-04-00
2,8,Thu Jun 16 13:34:24 2016,20.52957232 -100.8126936,"14Q, 311001.0202 2271134.259",Next to Centro Holístico/Calle Sinaloa,Oriente,Structural Measurement,334,no offset visible,no offset visible,no offset visible,https://lh3.googleusercontent.com/Sg7vlDiCPWvQZFMpioHiIU0NaOriWDnb15WdH1gmnMCsuYDXiZc_XivkCP7BasStcaw0tw=w575-h546,https://drive.google.com/file/d/0B-xqovB0wtaEbG1TdmRNT3JOcFU/view?usp=sharing,Sidewalk,Strike inferred from tiny cracks on sidewalks,,Wall,,,Wall,,,https://drive.google.com/file/d/0B-xqovB0wtaEd2NPYWp6bjFrMjQ/view,,2016-06-21-04-08-19
